method,run,seed,test_R2,test_MSE,train_R2,train_MSE
tbnn,0,1337,0.9702415887688896,0.9319289304591991,0.9681743538779135,0.9990841945012411
tbnn,1,1338,0.9721324699648,0.8727131618393792,0.9704936467582463,0.9262760281562805
tbnn,2,1339,0.9551664375173423,1.4040297711337055,0.9536877698746252,1.453853170077006
tbnn,3,1340,0.9717773724263741,0.8838335319801613,0.9699983524164031,0.9418245333212393
tbnn,4,1341,0.9717972569681751,0.8832108268031368,0.969946007976522,0.9434676744319774
tbnn,5,1342,0.9721199482300822,0.8731052698912444,0.9702701307999911,0.9332926626558657
tbnn,6,1343,0.9712935881788545,0.8989839620060391,0.9694304225425137,0.9596532803994638
tbnn,7,1344,0.9727071704429204,0.8547155459721884,0.9706750485021823,0.9205813937717013
tbnn,8,1345,0.9703765577750809,0.9277020869431672,0.968498559876558,0.9889066175178245
tbnn,9,1346,0.9730945276333368,0.8425848572342484,0.9705551004737955,0.9243468134491531
