method,run,seed,test_R2,test_MSE,train_R2,train_MSE
e3nn,0,1337,0.7785651650293806,6.934561588146068,0.7763534685844788,7.020806983665183
e3nn,1,1338,0.7785546080633421,6.934892336527507,0.7763207401451933,7.021835256505896
e3nn,2,1339,0.7784055112199074,6.9395613493742765,0.7762503145926714,7.024045237788448
e3nn,3,1340,0.778483163570101,6.937128950048376,0.7763060160420491,7.02229697616012
e3nn,4,1341,0.7785621874235747,6.934654695016366,0.7763578251754069,7.020670043097602
e3nn,5,1342,0.7785485626212517,6.935080740186903,0.7763553607387166,7.020747078789605
e3nn,6,1343,0.7785016969104795,6.936549575240524,0.7762475801115921,7.024130220766421
e3nn,7,1344,0.7785658507810206,6.934539441709165,0.7763538087331423,7.020797411600749
e3nn,8,1345,0.7785331151632536,6.935565065454553,0.7763428111389029,7.02114200592041
e3nn,9,1346,0.7785068941860677,6.936386426289876,0.7762522408539494,7.023984838415076
